PID,Value,Year Built,Size
100693000,781014,1910,4844
100694000,457647,1894,4277
100694001,519728,1920,4192
100695000,461863,1910,2534
100696000,615431,1910,3618
100697000,596459,1910,3271
100698000,665917,1910,5638
100699000,805256,1899,5206
100700000,497699,1910,2131
100701000,460598,1910,2735
100703000,339177,1900,2441
100704000,578119,1910,3636
100705000,317043,1910,2200
100706000,350139,1910,2198
100707000,436883,1975,3530
100708000,360574,1847,2354
100709000,405896,1910,2544
100710000,613006,1910,3408
100711000,319362,1910,1262
100712000,339493,1910,1752
100713000,325581,1910,2240
100714000,245898,1910,2164
100715000,377754,1910,2709
100716000,638302,2016,3194
100717000,910867,1910,8020
100718000,356884,1910,1764
100719000,710080,1900,3432
100720000,582968,1910,4488
100721000,519728,1910,3334
100722000,326635,1910,3214
100723000,522573,1910,3346
100724000,357728,1910,2148
100725000,531743,1950,3278
100726000,568633,1910,2502
100727000,385448,1910,1852
100728000,1394442,1910,45216
100729000,501599,1900,2930
100731000,603415,1910,5565
100732000,518357,1910,4194
100733000,872434,1945,2696
100735000,530795,1950,3106
100736000,261076,1910,1785
100737000,277202,1910,1828
100171000,399044,1900,2688
100172000,293855,1900,2212
100173000,701226,1899,4245
100174000,747075,1900,4341
100175000,500756,1900,4026
100176000,567263,1907,4326
100177000,0,1900,0
100177002,429084,2017,918
100177004,422233,2017,925
100177006,444367,2017,1051
100178000,1187858,1899,4284
100178000,1187858,1899,2376
100179000,327794,1890,3130
100179001,542810,1890,3476
100180000,592348,1890,4024
100181000,0,1890,0
100181002,516566,2016,1325
100181004,455960,2016,809
100181006,485156,2016,916
100182000,691846,1890,3872
100183000,606893,1900,3696
100184000,615325,1900,3868
100185000,618593,1988,3392
100186000,0,2001,0
100186002,395250,2001,2148
100186004,395250,2001,2148
100187000,455012,1900,2237
100188000,358782,1900,2345
100189000,471033,1900,1920
100190000,311457,1910,1885
100191000,334540,1900,1700
100192000,621438,1890,4048
100193000,538172,1900,3404
100194000,0,1900,3318
100194002,519411,2016,1025
100194004,394512,2016,654
100195010,496118,1900,2386
100195020,347188,1900,1209
100196000,0,1900,0
100196002,366160,2015,977
100196004,369849,2015,974
100196006,387872,2015,1120
100197000,657064,1900,4948
100198000,632716,1900,4716
100199000,694691,1890,4894
100200000,706813,1900,5184
100201000,640621,1900,4532
100202000,580227,1910,3852
100203000,554720,1900,4552
100204000,584232,1900,4121
