NAME,SUB_NAME,MEASURE
A142,3455.050079,0.963537747
A143,4030.765732,1.054581881
A1441,18141.09525,1.069477471
A1444,18141.33002,1.038385561
A1454,18146.40765,1.037509707
A1455,18382.7139,1.234035839
A1456,18382.69752,1.165798515
A1457,18382.67568,1.327222269
A146,3614.662311,0.903150874
A147,3513.677572,0.977553863
A149,3535.216543,1.039754732
A150,3636.51249,1.364481124
A151,3573.315132,1.257309745
A152,4072.516937,1.282996339
A157,3647.45396,1.387721105
A158,4073.270391,1.561512634
A159,3609.988709,1.358615484
A160,4054.657882,1.45953687
A165,3691.350872,1.193281146
A166,3697.771615,1.205247052
A167,3761.291102,1.153073121
A168,3763.032783,1.385220592
A179,3966.814919,1.181738774
A180,3948.726551,1.160711528
A182,3991.034658,1.141882359
A188,4154.146631,1.261891612
A189,4678.529103,1.330877025
A190,4168.325771,1.319920125
A191,4541.39493,1.243445954
A206,4280.579567,1.231805951
A207,4673.735386,1.293714163
A208,4289.833954,1.258601557
A209,4673.779064,1.259018996
A210,4290.620167,1.369755406
A211,4638.557798,1.326308384
A25,3720.517204,1.044566644
A335,4960.681423,0.962070294
A336,4960.675963,0.864548584
A342,4960.670503,0.912960812
A343,17329.87047,1.024781966
A345,16835.47877,1.018725388
A35,4026.512536,1.078663854
A37,4026.9657,0.925056456
A395,17758.75532,1.260348829
A407,18428.57089,1.126874505
A479,19497.66818,1.070566808
A489,19551.49104,1.19256899
A490,19565.1515,1.107242014
A492,19551.50196,1.173907525
A496,19565.18971,1.252462857
A502,19641.76908,1.218110801
A511,19712.59926,1.10938114
A513,19712.6211,1.111791669
A516,19700.87704,1.02386226
A518,19737.61613,1.083239161
A523,19737.63797,1.119949448
A525,19699.09714,1.002305871
A530,3461.246969,1.193562476
A531,3461.629156,1.20723487
A543,17890.60439,1.110970376
A543,17700.04593,1.211717285
A544,17884.38566,1.154313495
A544,17700.05685,1.124336223
A545,17890.62077,1.213086885
A545,17702.80314,1.199055773
A546,17884.40204,1.211010102
A546,17700.02955,1.169259158
A547,18153.74564,1.206250142
A547,17772.03905,1.218275214
A548,18153.76202,1.209717452
A548,17813.75204,1.162189436
A549,17813.87215,1.169313545
A552,18153.72926,1.23290821
A552,17813.76296,1.067515266
A553,18377.64173,1.333476114
A553,18030.55037,1.351456618
A554,18377.60897,1.321990202
A554,18030.43572,1.322139074
A556,18385.01794,1.042820642
A556,18017.79624,1.055319614
A565,18647.88074,1.027991575
A567,18647.25286,1.121707985
A585,3401.554811,1.861775481
A589,3293.161104,1.961171991
A590,3462.349851,1.218191913
A621,4636.515827,1.522383608
A621,16631.30352,1.630721224
A622,4648.412764,1.367447566
A622,16631.3199,1.313374354
A625,4923.28715,1.602755505
A625,16869.06209,1.553120995
A626,4923.336288,1.378822515
A626,16903.18047,1.453985563
A628,4932.43234,1.446411621
A628,16958.07891,1.329199181
A635,18407.07013,1.409144943
A635,18068.33229,1.439223437
A637,18407.03738,1.5378631
A637,18024.98682,1.501331489
A639,19088.12746,1.354419027
A640,18282.58089,1.12069376
A641,18285.48551,1.18339615
A652,18826.5641,1.60798605
A652,19167.31116,1.548055865
A69,18407.31583,1.146501255
A74,18439.70345,1.410235279
A75,18439.71983,1.516084453
A764,19374.18901,1.437729725
A765,19378.07093,1.688089336
A766,19374.4347,1.605086659
A774,19496.84921,1.634852642
A775,19561.29141,1.749659238
A778,19446.17121,1.156096396
A788,19596.88394,1.058828105
A796,19530.43253,1.086220975
A815,4960.905275,1.150310105
A829,18256.23183,1.299343038
A83,18653.23135,1.174785839
A830,18561.1079,1.108122266
A840,4417.828397,1.330324443
A846,4410.64874,1.326125625
A847,4410.64328,1.37511031
A851,4418.641909,1.133814986
A924,17765.37808,1.233258683
A924,17938.45421,1.193588279
A925,18026.58655,1.251377723
A925,17827.11221,1.138482
A926,18026.7285,1.140256428
A926,17824.16937,1.228196166
A928,18143.32831,1.360785905
A929,18061.88425,1.297539799
A931,18066.65613,1.382650417
A941,18647.97901,1.824700762
A944,18723.81584,1.646599444
A975,19135.84624,1.278031451
A989,19420.75577,2.253404457
A990,19446.04563,2.662923366
A996,19597.05865,1.723937975
A101,18679.57496,1.23604327
A97,18668.71539,1.27818273
A566,19250.89546,1.611016477
A100,18679.5968,1.183950917
A1017,4005.295695,1.379898895
A1058,3911.081127,2.010882928
A1078,3746.29845,1.223214978
A1083,3967.890502,1.165873855
A1089,3872.562132,1.292712075
A1091,3872.671328,1.375688704
A1098,4187.484262,1.396635271
A1106,4280.590487,0.980661552
A1111,4008.598883,1.241824716
A1117,4024.978328,0.812825504
A1119,4421.797682,0.870361629
A1128,4203.847327,0.750264541
A1129,4731.953393,0.706097501
A132,3432.724895,0.885570173
A133,4030.536419,1.007841387
A1334,17099.49904,1.479270602
A1337,17110.8227,1.376151845
A1339,17066.34704,1.238949791
A134,3454.957262,1.014334859
A1340,17062.39414,1.190833386
A1343,17133.81398,1.118791312
A135,4030.760272,1.115410119
A136,3432.730355,1.110262154
A1362,17347.70223,1.17840096
A137,4077.878475,1.044509754
A1370,17145.24683,1.156500765
A138,3454.231107,0.951134946
A139,4073.434186,1.111981491
A1443,18141.30818,1.066278216
A1446,18141.34094,1.079744602
A1449,18079.50307,1.030298099
A1459,18382.64838,1.114343267
A1460,18382.62654,1.11114348
A1461,18382.61016,1.051576808
A153,3638.669117,1.272278794
A154,4077.916694,1.285397872
A181,3991.345867,1.134861712
A184,4029.810264,1.317616047
A192,4172.906555,1.214064036
A193,4545.80646,1.087194207
A194,4168.287552,1.167530037
A195,4541.640622,1.13208388
A196,4173.561733,1.241397472
A197,4549.382639,1.087714609
A198,4175.991351,1.183495741
A199,4619.01166,1.312269702
A200,4262.141772,1.215476113
A201,4641.850066,1.33732516
A214,4309.936992,1.129528545
A215,4701.04538,1.225227319
A22,2923.864677,0.977271523
A226,4405.893241,1.012405417
A227,4877.490222,0.943865859
A26,3700.506982,1.736290227
A289,4878.538506,1.098436569
A290,17021.11248,0.980146365
A313,4877.572119,1.165466165
A314,17076.34396,1.240256667
A315,4923.658417,1.192794377
A316,17076.3931,1.310707498
A331,4959.720496,1.324515824
A332,4949.991105,1.111735085
A336,17102.11429,1.605042665
A337,17107.77612,1.408826475
A337,4960.76878,0.860491478
A340,4960.665044,0.88615662
A341,17329.83771,0.888975983
A36,4026.97662,0.929817115
A370,17103.10252,1.512637872
A415,18640.81027,1.207353695
A416,18640.82119,1.297788471
A417,18640.85395,1.286313205
A418,18653.89199,1.207117563
A419,18862.92647,1.414994304
A444,19082.71678,1.347226911
A446,19078.15238,1.598254889
A463,19347.10286,1.759202253
A464,19346.93907,1.935487132
A466,19346.98275,1.76196663
A467,19347.33218,1.795717292
A468,19352.47532,1.711717675
A469,19346.90085,1.694026536
A480,19497.6791,0.991313429
A481,19515.23787,1.016772336
A482,19515.27063,1.012575788
A483,19508.90994,1.056709789
A499,19578.45706,1.210259036
A503,19614.06598,1.28652856
A504,19606.65155,1.176680504
A507,19624.80543,1.067928336
A510,19679.39266,1.116326052
A512,19712.61018,0.908996634
A514,19712.63202,1.081216333
A520,19726.05224,1.02082829
A522,19737.62705,0.896016337
A524,19737.64889,1.063005454
A551,18153.68558,1.233071511
A551,17813.89399,1.287515316
A555,18384.9688,1.054869495
A555,18030.11359,1.033304271
A584,3293.172024,1.924111699
A586,3293.177484,1.768094148
A619,4633.578446,1.679458819
A619,16631.68571,1.764885919
A624,4648.418224,1.278165963
A624,16699.33828,1.136765254
A629,4934.294137,1.337874751
A629,17009.56497,1.34441365
A636,18407.05376,1.422634884
A636,18068.15212,1.410196248
A64,18448.91962,1.581108679
A68,18406.34398,1.546802668
A683,18428.46169,0.964202252
A73,18433.37006,1.272449285
A743,19135.43676,1.095096785
A76,18455.68979,1.855240692
A760,19333.33867,1.75648587
A769,19444.92091,1.595001835
A77,18505.79997,1.661759178
A776,19508.17287,1.583604633
A78,18462.37806,1.716708554
A787,19596.87302,1.136143576
A79,18501.60137,1.470559043
A792,19530.61817,1.027587464
A808,3293.166564,1.957052796
A809,3647.42666,1.266012004
A813,4959.715036,1.264676861
A814,4944.689625,1.050880455
A82,18591.67194,1.144308182
A84,18591.65556,1.161701479
A841,4417.915754,1.353306685
A842,4417.893914,1.414580986
A843,4417.697361,1.274147069
A844,4419.444502,1.484552438
A849,4446.022881,1.255927773
A85,18587.0311,1.145987892
A853,4524.518642,1.108289515
A854,4539.576811,1.189953937
A855,4523.202826,1.192609358
A861,4775.178748,1.374080369
A862,4745.226203,1.358565982
A863,4747.033402,1.267238855
A867,4832.168297,1.123392359
A867,17850.8351,1.172064875
A876,4934.365115,1.226750366
A877,4922.653812,1.336335501
A878,4932.421421,1.322913296
A879,4959.960727,1.321931799
A880,16834.85089,1.136014692
A881,4944.684165,1.047712482
A883,4947.77442,1.121948513
A89,18604.09302,1.330274288
A90,18604.1094,1.334621906
A90,19050.7441,1.272421505
A91,18623.03858,1.18314361
A92,18626.23803,1.627420096
A93,18628.9461,1.142180699
A94,18633.16107,1.280406876
A943,18723.84314,1.581432245
A946,18776.55766,1.439510445
A95,18660.54751,1.19812575
A950,18826.55318,1.325512924
A966,19130.77407,1.216476966
A974,19135.83532,1.647311281
A976,19140.18679,1.463737495
A99,18671.38524,1.127707765
A1033,3360.819132,0.8235757
A1059,3986.874279,1.080646378
A1062,3573.189556,1.363896712
A1064,3573.031221,1.342078015
A1065,3570.077461,1.370928224
A1066,3570.093841,1.311295825
A1073,3905.599473,1.304597934
A1074,3728.466695,1.37967304
A108,3464.675733,0.841501223
A108,2927.9104,1.163502042
A1082,3966.7767,1.143626002
A1084,4002.735041,1.196256663
A1086,3956.413971,1.131342932
A1090,3872.709547,1.39410305
A1100,4211.556586,1.290161056
A111,2920.992814,1.210458184
A1114,4005.503168,0.834458789
A1126,4203.901925,0.735123236
A1127,4747.464728,0.732682357
A113,3464.708492,1.233188165
A1141,4337.44354,1.085779546
A1142,4890.069636,1.187385604
A1183,4611.280562,0.689945232
A1184,17011.73251,1.022356781
A127,3394.828319,1.136455773
A128,3381.031367,1.127327624
A1288,4932.317684,0.982600131
A129,3394.82286,1.169940115
A130,3391.246681,1.089035085
A1306,16883.94008,0.899669162
A1309,17099.30249,1.078575678
A131,3382.445459,1.118378206
A1312,17099.17691,1.323869671
A1313,17101.55739,1.325096462
A1329,17007.97616,1.203114577
A1330,17005.35545,1.375983225
A1332,17110.92643,1.27741282
A1333,17100.97865,1.399250338
A1335,17122.47394,1.412565704
A1336,17099.40622,1.358700143
A1341,17093.00186,1.320683698
A1342,17092.98002,1.163074515
A1354,17301.41392,1.179319136
A1355,17301.403,1.254642389
A1368,17134.2726,1.080948691
A1369,17138.83701,1.190262507
A140,3436.486708,1.015177078
A141,4077.894855,0.971925026
A1422,17924.31875,1.132594796
A1438,18009.0387,0.908006802
A1439,18009.10422,0.929667814
A1442,18141.28088,1.171391293
A1445,18141.3191,0.957636297
A1447,18079.54675,1.121041031
A1448,18079.52491,1.145050357
A19,3700.430545,1.287292019
A204,4280.339335,1.189910703
A205,4632.835912,1.170976078
A21,2923.853758,0.774933113
A212,4294.775086,1.20504784
A213,4711.959551,1.193693828
A216,4298.449542,1.510031084
A217,4715.415613,1.425963099
A218,4298.455001,1.357582391
A219,4736.157451,1.282042502
A220,4309.238136,1.122075529
A221,4711.96501,1.206978233
A222,4309.259975,1.374153824
A223,4711.97047,1.442264038
A224,4386.887625,1.003176047
A225,4731.860576,1.180159999
A240,4736.244808,1.262689336
A27,3719.665473,0.819083271
A287,4878.533046,0.987243432
A288,17031.48066,0.99691522
A291,4879.341099,1.017823071
A292,17011.78711,1.146846614
A301,4844.092533,1.169280725
A302,17022.16076,1.071970461
A329,4949.941967,1.335360589
A333,16892.06429,1.42349527
A333,4946.404007,1.298308167
A334,4946.382168,1.100075432
A335,17102.09791,1.471212913
A34,3732.534257,0.774991041
A347,17208.67896,1.685996554
A348,17208.65712,1.850725611
A354,17219.44572,1.359817361
A398,17949.11177,1.066531089
A399,17949.18275,1.213945826
A413,18640.78298,1.453693786
A414,18640.79936,1.390677632
A430,19045.28429,1.230323017
A443,19080.16705,1.371981328
A445,19078.12508,1.47808343
A448,19113.04605,1.567353718
A449,19113.05697,1.288081501
A465,19346.88447,1.634206718
A505,19671.51415,1.040143807
A506,19671.52507,1.070616365
A508,19641.79638,1.002412397
A509,19700.83336,1.066151617
A515,19700.86612,0.95263637
A521,19726.06316,0.948805814
A568,18723.9032,1.177583987
A573,19092.79014,1.265294755
A578,19397.03287,1.094529058
A578,19160.80852,1.119506325
A579,19532.611,1.159851338
A579,19177.65204,1.177471494
A580,19532.64922,1.230545922
A580,19160.74846,1.127871033
A581,19388.08423,1.444628957
A581,19278.0089,1.45132915
A599,4244.855998,1.749311741
A631,17117.21068,1.116510829
A634,17702.79222,1.81276658
A651,18772.06969,1.511766408
A653,19539.63778,1.448267486
A653,19160.76484,1.416608435
A654,19550.26258,1.6336958
A654,19201.28758,1.476948189
A655,19599.26988,1.458483558
A655,19278.01982,1.391071453
A657,18150.58987,1.060654861
A661,18150.68268,0.982480085
A676,18324.93268,1.216341823
A678,18385.20358,1.133240273
A680,18397.53184,0.94345325
A686,18397.57552,1.43403912
A70,18423.89728,1.262861842
A71,18423.86453,1.611711456
A729,19087.10101,1.458752788
A730,19087.20475,1.441940026
A731,19087.40676,1.429224512
A748,19157.19412,1.247548236
A755,19199.08728,1.46409871
A756,19199.05998,1.393704654
A758,19345.06635,1.006634769
A759,19379.71434,1.834431763
A762,19322.18427,1.750064807
A768,19374.45654,1.620732542
A777,19439.55391,0.944184877
A781,19508.18379,1.104901245
A790,19578.41885,1.033946102
A794,19530.51443,1.059439392
A795,19530.49259,1.106410589
A80,18501.53585,1.262297034
A805,19632.72763,1.01307072
A81,18545.24713,1.089333386
A812,17011.19745,1.000986468
A832,19050.9898,1.365511525
A834,19056.73352,1.22235259
A835,19056.74444,1.242267438
A836,19056.75536,1.278966285
A845,4450.357974,1.198051589
A850,4418.543632,1.127945082
A852,4529.8911,1.313681854
A858,4702.159183,1.377012807
A859,4923.418186,1.33874158
A86,18587.01472,1.269657285
A860,4703.469538,1.444760313
A864,4835.591601,1.17880001
A865,17865.11252,1.069223701
A866,4832.157378,1.105774545
A866,17857.74723,1.075886457
A87,18591.68832,1.388973706
A870,4835.575222,1.051336803
A871,17857.79091,1.156811829
A874,4934.359655,1.41992807
A875,17864.20619,1.594182582
A88,18604.12578,1.253347783
A882,4946.414926,1.099701815
A884,4959.709576,0.958638713
A885,17850.84602,1.100141529
A886,16829.88246,1.263980826
A887,16834.86181,1.19908122
A889,17121.75325,1.293741854
A947,18776.57949,1.365698076
A948,18919.70854,1.597626857
A949,18841.84066,1.201631776
A951,18841.85158,1.223669943
A952,18919.69217,1.246141914
A953,18841.8625,1.205271405
A956,18925.01548,1.235623808
A957,19044.01215,1.666235469
A96,18668.69901,1.118726908
A964,19044.06675,1.448424612
A967,19135.86808,1.356680545
A968,19135.45859,1.661731555
A969,19135.56779,1.834863384
A970,19135.59509,1.734873268
A971,19153.30673,1.595777532
A972,19135.61693,1.429525663
A973,19135.75888,1.224896311
A977,19140.20317,1.268419474
A978,19135.85716,1.490310524
A980,19160.7976,1.536138482
A982,19177.63021,1.416563992
A98,18668.73177,1.16677473
A1008,3113.696985,0.790981293
A1010,3114.499578,0.735352632
A1020,3007.563641,1.128622332
A1032,3357.232033,0.818956075
A1034,3346.809246,0.75322896
A1036,3330.331525,1.481993652
A1061,4003.182746,1.064137158
A1063,3573.025761,1.322586477
A1067,3574.199622,1.480311631
A1070,3910.97739,1.498228411
A1087,3993.32232,1.06652835
A1103,4453.14248,1.0419136
A1104,4453.13156,1.020626319
A112,2922.565241,1.170947891
A1120,4242.824946,0.855333541
A1121,4804.732727,0.86670692
A1122,4216.224728,0.734541742
A1123,4736.299406,0.766955482
A113,2926.223317,1.129228376
A1169,4083.272773,1.055517543
A1189,4758.111367,0.879093889
A119,2966.849801,1.229057145
A1190,17018.27337,0.936320416
A1220,4711.255234,1.047994914
A1221,17078.24398,1.045205433
A1245,4889.032271,1.21451502
A1246,17480.58321,1.300408544
A1259,4897.975448,1.157439438
A126,3364.504507,1.082519448
A1260,4897.964528,1.102329982
A1272,4877.757753,1.087053903
A1273,17220.97446,0.996142577
A1282,4898.303037,1.29791634
A1286,4932.306764,0.892672239
A1287,4925.416478,0.931880854
A1292,4948.65891,1.208167259
A1292,17380.40106,1.277617645
A1293,4936.336108,1.275313732
A1294,17385.24392,1.12812085
A1295,4936.314269,0.860437248
A1296,17400.5314,1.382044544
A1297,4936.308809,1.390162322
A1298,17385.27668,1.209623635
A1301,4937.952213,1.344851623
A1302,17385.06374,1.413968712
A1304,4938.449056,1.581005259
A1305,17385.1238,1.473073078
A1307,17099.33525,1.176914325
A1308,17099.38438,1.130578396
A1310,17092.95818,1.123876517
A1311,17099.19875,1.176674949
A1318,17170.766,1.251285959
A1319,17183.61295,1.072011865
A1327,17008.94255,1.324512665
A1331,17007.14627,1.342686052
A1352,17293.37161,1.243055418
A1353,17301.44122,1.176603931
A1357,17294.64921,1.212817743
A1359,17353.20572,1.238311166
A1361,17347.68039,1.320097652
A1365,17363.99432,1.304467734
A1366,17363.25724,1.266709928
A1423,17924.32967,1.051131227
A1424,17937.90277,1.063453661
A1437,18009.12606,1.04189322
A1451,18080.56774,0.990539344
A1452,18080.51314,1.063754925
A1463,18143.7651,0.975992245
A20,3700.381406,1.36361121
A202,4262.147232,1.304987261
A203,4632.410046,1.223706557
A230,4539.511294,1.101530175
A231,17075.3612,0.978116797
A232,4416.441604,1.071091108
A233,4875.956014,0.946041765
A236,4556.709711,1.236794473
A237,4889.998658,1.209072701
A238,4740.836512,1.327550396
A239,4736.239348,1.239773265
A278,4936.87117,1.076180623
A279,4923.652958,1.442124851
A281,4871.686438,1.226624976
A282,17034.81115,1.23376806
A283,4876.704008,1.103300587
A284,17007.61035,1.051618192
A285,4869.447914,1.131186991
A286,17011.79803,1.162295557
A299,4843.61207,1.037740422
A300,17007.47932,1.095032217
A303,4846.276459,1.015485492
A304,17064.73094,1.057721185
A305,4897.211074,1.202615358
A306,17090.89983,1.238007535
A311,4923.532842,1.160849796
A312,17078.2003,1.273177517
A317,4937.897615,0.793724125
A318,17247.96779,0.868969847
A327,4937.406232,0.946907331
A328,17253.03996,0.986391137
A350,17212.97037,1.828749148
A376,17322.54886,1.567329146
A38,4029.64101,1.723372823
A400,17954.24946,1.124333464
A404,17850.97706,1.185014253
A406,17886.3512,1.564491681
A420,18786.72929,1.480719302
A421,18851.61373,1.446229995
A422,18786.76205,1.339673442
A423,18786.78389,1.212798203
A425,18930.38794,1.347111051
A427,18939.43486,1.486859752
A431,19045.33343,1.316713261
A432,19088.21482,1.425171714
A433,19045.34435,1.394610365
A434,19045.35527,1.374867481
A435,19045.42079,1.58528998
A436,19061.59276,1.314176349
A437,19130.85597,1.319356275
A438,19063.27984,1.393367171
A447,19120.74985,1.480314716
A450,19278.2273,1.531740499
A451,19120.76077,1.28291439
A452,19120.90273,1.37115922
A455,19232.5887,1.681843427
A457,19202.91461,1.739808406
A458,19202.95283,1.95313548
A46,4071.747103,0.911343103
A47,4071.676125,1.545977668
A526,3086.485267,1.752138622
A527,3086.086701,1.69378237
A528,3087.113146,1.899340479
